year,statefip,met2013,perwt,sex,age,race,hispan,bpl,educd,empstat,uhrswork,inctot,incwage
"2019","Mississippi","Memphis, TN-MS-AR",93.00,"Male","43","Black/African American/Negro","Not Hispanic","Tennessee","Grade 11","Not in labor force","40",23000,23000
"2019","Mississippi","Memphis, TN-MS-AR",96.00,"Male","60","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Not in labor force","N/A",10800,0
"2019","Mississippi","Memphis, TN-MS-AR",81.00,"Male","40","White","Not Hispanic","Tennessee","Grade 10","Not in labor force","29",14000,0
"2019","Mississippi","Memphis, TN-MS-AR",29.00,"Female","83","White","Not Hispanic","Arkansas","1 or more years of college credit, no degree","Not in labor force","N/A",8400,0
"2019","Mississippi","Memphis, TN-MS-AR",92.00,"Male","24","Black/African American/Negro","Not Hispanic","Arkansas","GED or alternative credential","Not in labor force","20",10000,10000
"2019","Mississippi","Memphis, TN-MS-AR",83.00,"Male","30","Black/African American/Negro","Not Hispanic","Illinois","Grade 10","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",112.00,"Male","43","Black/African American/Negro","Not Hispanic","Tennessee","Grade 11","Not in labor force","40",23000,23000
"2019","Mississippi","Memphis, TN-MS-AR",66.00,"Female","62","Black/African American/Negro","Not Hispanic","Mississippi","No schooling completed","Employed","35",4550,0
"2019","Mississippi","Memphis, TN-MS-AR",67.00,"Female","22","Black/African American/Negro","Not Hispanic","Illinois","Grade 11","Not in labor force","24",4100,1700
"2019","Mississippi","Memphis, TN-MS-AR",25.00,"Female","90 (90+ in 1980 and 1990)","Black/African American/Negro","Not Hispanic","Mississippi","Grade 8","Not in labor force","N/A",13300,0
"2019","Mississippi","Memphis, TN-MS-AR",96.00,"Male","25","White","Not Hispanic","Mississippi","Grade 8","Not in labor force","60",60000,60000
"2019","Mississippi","Memphis, TN-MS-AR",29.00,"Male","60","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Not in labor force","N/A",10800,0
"2019","Mississippi","Memphis, TN-MS-AR",27.00,"Female","53","White","Not Hispanic","Mississippi","Grade 8","Not in labor force","N/A",9200,0
"2019","Mississippi","Memphis, TN-MS-AR",28.00,"Female","77","White","Not Hispanic","Arkansas","Grade 11","Not in labor force","N/A",7200,0
"2019","Mississippi","Memphis, TN-MS-AR",32.00,"Female","28","White","Not Hispanic","Tennessee","Some college, but less than 1 year","Not in labor force","60",5000,5000
"2019","Mississippi","Memphis, TN-MS-AR",38.00,"Male","29","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",9800,8000
"2019","Mississippi","Memphis, TN-MS-AR",28.00,"Female","8","White","Not Hispanic","Tennessee","Grade 2","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",26.00,"Male","4","White","Not Hispanic","Tennessee","No schooling completed","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",26.00,"Male","15","White","Not Hispanic","Tennessee","Grade 9","N/A","N/A",0,999999
"2019","Mississippi","Memphis, TN-MS-AR",122.00,"Female","50","White","Not Hispanic","Arizona","Master's degree","Employed","40",60000,60000
"2019","Mississippi","Memphis, TN-MS-AR",160.00,"Male","38","White","Not Hispanic","California","Bachelor's degree","Employed","40",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",116.00,"Male","22","White","Not Hispanic","Nevada","Regular high school diploma","Unemployed","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",118.00,"Male","9","White","Not Hispanic","Nevada","Grade 4","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",125.00,"Female","4","White","Not Hispanic","Nevada","No schooling completed","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",83.00,"Male","67","White","Not Hispanic","Tennessee","Some college, but less than 1 year","Not in labor force","45",213200,38000
"2019","Mississippi","Memphis, TN-MS-AR",88.00,"Female","64","White","Not Hispanic","Tennessee","Some college, but less than 1 year","Not in labor force","N/A",29400,0
"2019","Mississippi","Memphis, TN-MS-AR",102.00,"Female","62","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","17",14000,0
"2019","Mississippi","Memphis, TN-MS-AR",245.00,"Male","32","Black/African American/Negro","Not Hispanic","Louisiana","Associate's degree, type not specified","Employed","50",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",169.00,"Female","31","Black/African American/Negro","Not Hispanic","Louisiana","Associate's degree, type not specified","Employed","40",25000,25000
"2019","Mississippi","Memphis, TN-MS-AR",227.00,"Male","13","Black/African American/Negro","Not Hispanic","Mississippi","Grade 6","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",229.00,"Male","11","Black/African American/Negro","Not Hispanic","Mississippi","Grade 5","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",162.00,"Male","52","Black/African American/Negro","Not Hispanic","Illinois","Bachelor's degree","Employed","55",141060,140000
