id,treadssk,tmathssk,T1,T2,sch_inner_city,sbirthdate_yq,sfemale,swhite,sfree_lunch,ttotexpk,tmasters,twhite
1137,447,473,0,1,0,1980,1,1,0,7,0,1
1143,450,536,0,1,0,1979.75,1,0,0,21,0,1
1183,439,463,1,0,1,1980,0,0,1,0,0,1
1277,448,559,0,0,0,1980.25,0,1,0,16,0,1
1292,447,489,0,1,0,1980.25,0,1,1,5,0,1
1308,431,454,0,0,0,1980.25,0,1,1,8,0,1
1324,395,423,1,0,1,1980.25,1,0,1,17,1,1
1441,451,500,0,0,0,1980,1,1,0,3,0,0
1465,478,439,0,1,0,1980.5,1,0,0,11,0,1
1499,455,528,0,1,0,1980.5,1,1,0,10,0,1
1552,430,473,0,0,0,1980,0,1,0,13,1,1
1561,437,468,1,0,0,1980.5,0,1,0,6,1,1
1583,,,0,0,1,1980,1,0,1,9,0,0
1617,474,559,0,1,0,1980,0,1,0,0,0,1
1632,424,494,0,1,0,1980,0,1,0,6,0,1
1641,490,528,1,0,0,1979.5,0,1,0,18,0,1
1659,439,484,0,0,0,1980.5,0,1,0,13,1,1
1670,424,459,1,0,0,1979.75,1,1,1,12,0,1
1690,437,528,0,0,0,1980.5,1,0,1,1,0,0
1725,422,478,0,1,0,1980.25,1,1,0,8,1,1
1735,424,559,0,0,0,1979.75,0,1,1,13,0,1
1772,,,0,0,0,1980.25,0,1,0,5,0,1
1804,431,454,0,0,0,1980.25,0,1,0,13,1,1
1855,451,473,1,0,0,1980,0,1,0,3,0,1
1873,456,602,0,1,0,1980,0,1,1,14,1,1
1916,421,459,1,0,1,1980.25,1,0,1,11,0,1
1934,463,576,1,0,1,1980.25,0,0,1,10,0,0
1952,425,520,1,0,0,1980,1,0,0,8,0,0
1958,522,559,0,0,0,1979.75,1,1,0,8,0,1
1980,413,459,1,0,0,1980.25,1,1,0,5,1,1
1993,416,513,0,0,0,1980.5,0,1,0,13,1,1
2054,419,423,0,0,1,1980.75,1,0,1,0,0,0
2074,431,494,1,0,0,1980.5,1,1,0,3,0,1
2137,418,439,0,1,0,1980.5,0,1,0,8,0,1
2161,422,434,0,0,0,1980,1,0,1,15,1,1
2193,414,434,0,1,0,1980,1,0,1,8,0,1
2231,433,454,1,0,0,1979.75,0,0,1,11,0,1
2321,450,484,0,0,0,1980,1,1,0,10,0,1
2336,458,559,0,1,0,1980,1,1,1,4,0,1
2350,445,459,0,1,0,1980.25,1,1,0,7,1,1
2384,439,506,0,1,0,1980,0,1,0,17,1,1
2393,476,576,0,1,0,1979.5,0,1,0,12,1,1
2439,467,484,0,0,0,1980.75,1,1,0,4,1,1
2486,416,434,1,0,1,1979.75,1,0,1,10,1,0
2508,480,528,0,1,0,1980.25,0,1,0,0,0,1
2554,437,478,1,0,0,1980.5,1,1,0,16,0,1
2591,465,602,0,1,0,1980,0,1,0,18,1,1
2647,407,439,0,1,0,1979.75,1,1,1,4,0,1
2669,487,547,0,0,1,1980.25,1,0,0,12,0,0
2685,425,489,1,0,0,1980.25,0,1,0,8,1,1
2701,447,500,0,1,0,1980.25,1,1,0,14,1,0
2730,430,468,0,1,0,1980.5,1,1,0,13,1,1
2748,,444,0,1,0,1980.25,1,1,0,15,0,1
2792,,,0,1,1,1979.75,1,0,1,2,0,1
2831,480,547,0,1,0,1980,1,1,0,14,1,0
2904,440,513,0,0,0,1979.75,1,1,0,5,1,1
2972,410,405,1,0,0,1980.25,0,0,0,13,0,1
2986,,288,0,1,1,1979.5,0,0,1,3,0,0
3008,413,506,0,1,0,1980,1,1,0,5,1,1
3017,422,513,0,0,0,1980.5,1,0,1,1,0,0
3035,442,559,0,1,0,1980.5,1,0,0,5,0,0
3104,461,547,1,0,1,1980,1,0,1,10,0,0
